SUBJID,Sex,Var1,Var2
305,F,15887.5149,2.877673
306,F,24507.00755,3.513398
307,F,22149.11172,3.362935
308,F,19984.00289,2.937961
309,F,15288.06435,3.261187
310,F,19567.86681,2.76112
311,F,18118.39734,3.637947
312,F,18492.50938,3.423161
313,F,17715.83826,3.465467
314,F,18614.53726,3.687452
315,F,23562.46578,3.75808
316,F,17368.28125,3.343617
317,F,18867.15882,3.593993
318,F,23681.66496,3.846784
319,F,17819.49884,3.516954
320,F,18831.27968,3.617712
321,F,18983.53948,2.950889
322,F,16089.50073,3.687223
323,F,20135.40446,3.406951
324,F,17473.14931,3.443826
325,F,20598.60005,3.247309
326,F,19815.2607,3.073621
327,F,22030.03721,3.451863
328,F,18721.05051,3.534226
329,F,23170.13756,3.434611
330,F,23423.88464,3.378483
331,F,22928.01117,3.850478
332,F,21764.76809,3.826864
333,F,21198.85312,3.74556
334,F,23068.19535,3.517043
335,F,20513.2778,3.47196
336,F,24463.29093,3.233324
337,F,19473.42297,3.724894
338,F,22359.57186,3.307839
339,F,20905.8659,3.723366
340,F,16983.77997,3.285834
341,F,22466.57837,3.468887
342,F,17641.0151,3.818669
343,F,19568.16698,3.327818
344,F,23096.0517,3.623121
345,F,18212.80386,3.745326
346,F,22123.22182,3.610258
347,F,21362.21466,3.199173
348,F,19958.57045,3.820077
349,F,20488.04418,3.532656
350,F,19377.27727,3.50528
351,F,15641.07701,3.716343
352,F,16484.23081,3.410592
353,F,16347.01235,3.648475
354,F,24929.95546,3.393439
355,F,25449.44546,3.497648
356,F,20772.22383,3.485199
357,F,20643.04085,3.650815
358,F,19144.77544,3.672076
359,F,23953.43406,3.492869
360,F,19160.6929,3.799828
361,F,21089.20846,2.856302
362,F,19129.20005,3.372319
363,F,18801.99079,3.561854
364,F,23104.78147,3.714909
365,F,18191.45658,3.64109
366,F,21415.40486,3.409381
367,F,22266.38401,3.511888
368,F,17359.39722,3.763111
369,F,21344.30302,3.291992
370,F,20369.03139,3.52583
371,F,15669.50507,3.451169
372,F,21239.01137,3.079778
373,F,20099.75505,3.626569
374,F,20218.66689,3.60571
375,F,21879.71927,3.554301
376,F,15912.55199,3.811088
377,F,19240.16332,3.490116
378,F,17668.05682,3.143495
379,F,18457.1062,3.639242
380,F,18210.34528,3.51932
381,F,18769.46895,3.287463
382,F,20775.75351,3.669707
383,F,20325.17673,3.629167
384,F,17748.67851,3.374229
385,F,26875.22913,3.471577
386,F,17642.87681,3.583138
387,F,22752.11969,3.100826
388,F,25062.88705,3.294819
389,F,22039.38363,3.673969
390,F,20872.35842,3.721537
391,F,19174.38503,3.627349
392,F,21506.31172,3.662105
393,F,18927.88982,3.555511
394,F,20133.33146,2.883503
395,F,21714.39182,3.546725
396,F,19092.67946,3.498249
397,F,20147.16794,3.737227
398,F,23455.75723,3.545954
399,F,20713.69317,3.90897
400,F,21530.80852,3.937205
